numTweets,posting_user,GROUP_CONCAT(url)
1556,tedcruz,"http://votetedcruz.com/ia,https://twitter.com/meetthepress/status/693797624718036993,https://twitter.com/jaketapper/status/693800968970977280,https://www.youtube.com/watch?v=7wHL9XlOPO0,http://votetedcruz.com/ia,https://amp.twimg.com/v/8581bf98-5060-477b-bb8e-543475db251b,http://votetedcruz.com/ia,https://twitter.com/right_pilot/status/693801836877352960,http://tedcruz.org/events,https://twitter.com/iowacruzgirl/status/693834041099993089,http://www.c-span.org/video/?403939-1/ted-cruz-campaign-rally-iowa-city-iowa,http://votetedcruz.com/ia,http://votetedcruz.com/ia,http://votetedcruz.com/ia,http://kxan.com/2016/01/31/most-powerful-man-in-texas-goes-to-iowa-for-cruz/?cid=twitter_KXAN_News,http://votetedcruz.com/ia,https://twitter.com/leonhwolf/status/694006084512526337,http://votetedcruz.com/ia,https://twitter.com/patricksvitek/status/694008608959414272,http://www.redstate.com/absentee/2016/01/31/ted-cruz-live-des-moines-join-now/,https://twitter.com/PatrickSvitek/status/694008608959414272,http://votetedcruz.co"
1337,ColoSenGOP,"http://www.gjsentinel.com/news/articles/cost-shift/,https://twitter.com/denverpost/status/683694403496456193,http://www.thedailybeast.com/articles/2016/01/03/how-liberals-are-the-new-autocrats.html,http://news.investors.com/ibd-editorials/123115-787733-obamanomics-gets-f-grade-for-failing-to-create-economic-growth-jobs.htm?ven=rss,https://www.washingtonpost.com/posteverything/wp/2015/12/30/president-obamas-recent-vetoes-were-unconstitutional-congress-should-sue-him/,http://www.durangoherald.com/article/20160102/OPINION02/160109956/-1/OPINION,http://www.washingtontimes.com/news/2016/jan/3/stephen-moore-the-obama-economic-recovery-that-was/,http://bit.ly/1R7zZLw,http://gazette.com/colorado-sen.-cadman-still-a-believer-in-democratic-process-embarks-on-final-term-in-legislature/article/1567053,http://www.westword.com/news/meet-ross-kaminsky-new-morning-drive-host-on-khow-7479381,http://www.durangoherald.com/article/20160102/OPINION02/160109956/-1/OPINION,http://www.denverpost.com/news/ci_29341012/obama-starts-201"
1174,JohnKasich,"http://www.nbcnews.com/id/3080248/ns/meet_the_press-more/t/meet-press-your-area/#.VoVvfJMrKu4,https://amp.twimg.com/v/7b1d8e40-a7a2-4e73-baec-7fd63038f1e9,https://twitter.com/JohnKasich/status/683708203410964481,https://twitter.com/meetthepress/status/683682748201070593,https://johnkasich.com/BalancingBudgets,https://amp.twimg.com/v/49060e87-6e0c-4cd7-9407-ac3786907718,https://JohnKasich.com/nationalsecurity/,http://JohnKasich.com/PhoneFromHome,https://amp.twimg.com/v/421e4d75-4622-4e2b-9b4c-2f6f22c1cce1,http://ow.ly/i/fGqtN,https://twitter.com/TheFive/status/684506094190788608,https://www.facebook.com/JohnKasich/videos/10153171238615933/?theater,http://www.publicpolicypolling.com/main/2016/01/trump-maintains-lead-in-nh-dem-race-close.html,https://johnkasich.com/blog-posts/in-case-you-missed-it-another-nh-poll-has-john-kasich-in-third-place,https://johnkasich.com/blog-posts/in-case-you-missed-it-another-nh-poll-has-john-kasich-in-third-place/,https://amp.twimg.com/v/de2af642-6de0-42fb-a50d-8c40d3ccf008,https:"
611,marcorubio,"http://rub.io/DiDaKx,http://on.wsj.com/1IG4Yvt,http://rub.io/yRb3vN,http://rub.io/j1dyY1,https://cards.twitter.com/cards/9dh7c/1bpzw,http://apne.ws/1mWNUHS,https://twitter.com/ShaneAGOP/status/683375271785951232,http://rub.io/KLHzA8,https://cards.twitter.com/cards/18ce53ytzur/1bxte,http://time.com/4165730/marco-rubio-gun-control/,https://youtu.be/c59UJHT4pB8,http://rub.io/4rHQcr,https://www.eventbrite.com/e/north-carolina-rally-with-marco-rubio-tickets-20256771549,https://cards.twitter.com/cards/9dh7c/1c324,http://rub.io/UGcbnZ,http://rub.io/iwUXnL,http://rub.io/uQrDcf,https://amp.twimg.com/v/9f45da54-8a81-46a6-bf50-ca46120eeffa,http://rub.io/cHSpH7,https://amp.twimg.com/v/29d8126c-1bcf-4031-a08f-337a8029cb1d,http://natl.re/yPU9ga,http://rub.io/zPTWLp,https://amp.twimg.com/v/4632ddea-20db-43c1-a802-4279f46ad9d5,http://rub.io/Xq2BZ7,http://rub.io/DsbvPY,https://cards.twitter.com/cards/9dh7c/1c324,http://rub.io/DsbvPY,http://rub.io/Xq2BZ7,https://amp.twimg.com/v/f38d30f4-9913-45a9-8d45-8fac5553bf6b,http://youtu"
480,RhodeIslandGOP,"http://ow.ly/WvVoX,http://ow.ly/WpNqm,http://ripr.org/post/tgif-17-things-know-about-rhode-island-politics-media-47,http://ow.ly/WsFyL,http://ow.ly/WvVoX,http://portsmouthrepublicans.com/where-have-our-taxes-gone/,http://ow.ly/3yERvz,http://ow.ly/WpNqm,http://ow.ly/WxibA,http://ow.ly/Wxmf4,http://ow.ly/WxrQg,http://ow.ly/WxSEo,http://ow.ly/WyHZj,http://ow.ly/WpNqm,http://ow.ly/3yERvz,http://ow.ly/WxSEo,http://ow.ly/WyIC7,http://ow.ly/WACqH,http://ow.ly/WACRn,http://ow.ly/WxSEo,http://ow.ly/WxibA,http://ow.ly/WpNqm,http://ow.ly/WARQA,http://gop.cm/1O6eLaZ,http://ow.ly/WxrQg,http://ow.ly/3yERvz,http://portsmouthrepublicans.com/where-have-our-taxes-gone/,http://ow.ly/WpNqm,http://ow.ly/WBZQH,http://ow.ly/WxSEo,https://twitter.com/TedNesi/status/684166175438188544,http://ow.ly/WxrQg,http://ow.ly/3yERvz,http://portsmouthrepublicans.com/where-have-our-taxes-gone/,http://ow.ly/WpNqm,http://ow.ly/WBZQH,http://ow.ly/WxSEo,http://dlvr.it/DBkn1Y,http://ow.ly/WGvgJ,http://ow.ly/WH7Hb,http://ow.ly/WxibA,http://ow.ly/WvVoX"
405,realDonaldTrump,"https://www.facebook.com/video.php?v=10156480193140725,http://WND.com,https://m.facebook.com/DonaldTrump,http://therightscoop.com/media-gleefully-reporting-al-shabab-video-with-trump-ignores-hillary-and-black-lives-matter-are-in-it-too/,https://twitter.com/chriskyleband/status/683768768129024000,http://townhall.com/tipsheet/cortneyobrien/2016/01/04/isis-calls-david-cameron-slave-of-the-white-house-in-new-video-n2099576,https://www.facebook.com/DonaldTrump/posts/10156500910690725:0,https://www.facebook.com/DonaldTrump/posts/10156502334810725:0,https://www.instagram.com/p/BAPvZ-1GhbP/,http://bit.ly/1ITGy1D,http://www.huffingtonpost.com/entry/jeb-bush-liked-republicans_568fba2be4b0c8beacf694f4,https://www.washingtonpost.com/news/the-fix/wp/2016/01/09/still-dont-think-donald-trump-can-win-this-chart-should-convince-you/,http://m.richmond.com/obituaries/article_80ca0100-a435-5a87-814b-03d039e997c2.html?mode=jqm,http://time.com/4170772/the-art-of-the-steal/,http://www.sunherald.com/news/politics-government/article5"
394,indgop,"http://ow.ly/i/fwMmG,http://content.govdelivery.com/accounts/INDOT/bulletins/12e2359#.Voqck-yZWuN.twitter,http://bit.ly/1PaSqcp,http://bit.ly/1OGYoY9,http://indypolitics.org/2016/01/04/senate-gop-candidates-to-debate-january-16/,http://bit.ly/1JTVkjZ,http://indy.st/1PJeAXS,http://ow.ly/WEaXe,http://goo.gl/tsgU0s,http://rokita.house.gov/press-release/rokita-opposes-obama%E2%80%99s-unconstitutional-assault-second-amendment,http://roll.cl/1SxTZqf,http://indy.st/1TEDxTr,http://njour.nl/s/235905?oref=t.co,http://bit.ly/1Z8PF60,http://bit.ly/1RaD4dJ,https://twitter.com/GovPenceIN/status/685146247330709509,http://bit.ly/1OdCB4C,http://youtu.be/68Ws_MmZU-A?a,http://www.wowo.com/Home/ListenNow-Mobile.aspx,http://ow.ly/i/fPd6g,http://www.indiana.gop/internships,http://indgop.org/join-your-county-party,http://www.in.gov/gov,http://on.fb.me/1HwZDQX,https://goo.gl/gAkii1,http://bit.ly/1MxQm1l,http://on.fb.me/1U74WhB,http://ow.ly/i/fPdZM,http://bit.ly/1Jv7mn0,http://in.gov/gov,http://in.gov/gov,https://es.adobeconnect.com/"
324,FloridaGOP,"http://bit.ly/1OGKtuV,http://www.huffingtonpost.com/entry/hillary-clinton-wall-street_568afdc8e4b014efe0db6ff5,http://www.washingtonexaminer.com/obamas-new-gun-control-force-8-times-the-size-of-pentagons-isis-commando-team/article/2579594,http://thehill.com/blogs/blog-briefing-room/news/264650-clinton-aliens-may-have-visited-us-already,http://floridapolitics.com/archives/197615-more-than-23000-sign-petition-calling-for-dnc-to-remove-debbie-wasserman-schultz-as-chair,http://thehill.com/policy/healthcare/264696-cbo-bill-to-gut-obamacare-would-save-half-trillion-over-a-decade,http://floridapolitics.com/archives/197615-more-than-23000-sign-petition-calling-for-dnc-to-remove-debbie-wasserman-schultz-as-chair,http://www.florida.gop/71st_anniversary_bush,http://www.theblaze.com/stories/2016/01/05/clinton-mercilessly-grilled-on-msnbc-whats-the-difference-between-a-democrat-and-a-socialist/,http://washex.am/1PfjQ0L,http://thehill.com/blogs/ballot-box/other-races/265044-liberal-group-demands-dnc-chair-resign,http://www"
318,MissouriGOP,"https://twitter.com/housegop/status/683339854399160321,http://clk.gop/JmkH6u,http://clk.gop/5yC8H3,http://clk.gop/C179Yb,http://clk.gop/y9u5QC,http://clk.gop/z4mqLv,http://clk.gop/wHqAWJ,http://clk.gop/VWuTsx,http://clk.gop/qKNdnF,http://clk.gop/LSzgcj,http://clk.gop/QQXGcM,http://clk.gop/ra9VRN,http://clk.gop/jV2dcG,http://clk.gop/kX35uM,http://clk.gop/2ekojX,http://clk.gop/wHqAWJ,http://clk.gop/sSRy8m,http://clk.gop/hVQC5k,http://clk.gop/5yC8H3,http://clk.gop/aTwoAj,http://clk.gop/fF8bFF,http://clk.gop/wHqAWJ,https://twitter.com/GOP/status/686724029521121280,http://clk.gop/Rsd96t,http://clk.gop/cTMrBU,http://clk.gop/sdu5Yd,http://missouri.gop/volunteer/,http://clk.gop/pnJdR5,https://twitter.com/calebrowden/status/687715543084732416,http://clk.gop/fYxtSo,http://mogop.org,https://twitter.com/farmsteadrealty/status/688433941943050240,http://clk.gop/boqesw,http://clk.gop/8vSw3m,http://clk.gop/boqesw,http://clk.gop/wHqAWJ,http://www.missourinet.com/2016/01/19/2016-missouri-state-of-the-state-address/,https://www"
311,JebBush,"http://on.wsj.com/1SoWJWU,https://cards.twitter.com/cards/1vb0ck/1bxbn,http://jeb.cm/1JlfbgY,http://jeb.cm/1kAcsob,http://jeb.cm/1kAcsV6,https://cards.twitter.com/cards/1vb0ck/1bxbn,https://amp.twimg.com/v/0ad51673-26ac-4754-ac90-cf5ce78b617a,http://jeb.cm/1Z2jtkF,https://amp.twimg.com/v/5a82b564-4807-4929-9514-7080aeca62ab,http://wapo.st/1Urw4qP,http://jeb.cm/1Z2jAfV,https://amp.twimg.com/v/b0b00cba-6814-4e3f-89cc-5ae706b7217c,https://amp.twimg.com/v/4d435299-6caa-4201-99e6-d310ed6ce134,http://jeb.cm/1mDbqsS,http://mil-com.me/1n2AqdC,http://jeb.cm/1Sxatin,https://youtu.be/KeVk8MT2N68,https://amp.twimg.com/v/61871255-add3-4ca9-91cc-49d8ec4d7053,http://bbc.in/1O4rj50,https://amp.twimg.com/v/a8fbe3a6-b90d-497d-a227-0c3c58e336e8,http://jeb.cm/1MTuckV,https://cards.twitter.com/cards/1vb0ck/1cbx5,http://jeb.cm/1JZWnPu,https://amp.twimg.com/v/b08a0f96-4eee-4620-982f-b43519a0dc49,https://amp.twimg.com/v/d644398e-db0b-4142-8549-abf08120e846,https://twitter.com/TayaKyle/status/685273925882871808,http://bloom.bg/1S6Bol"
