u.screen_name,u.ofstate
"""realDonaldTrump""","""na"""
"""HillaryClinton""","""na"""
"""BernieSanders""","""na"""
"""marcorubio""","""na"""
"""RealBenCarson""","""na"""
"""tedcruz""","""na"""
"""JebBush""","""na"""
"""JohnKasich""","""na"""
"""MartinOMalley""","""na"""
"""BKcolin""","""North Carolina"""
"""vademocrats""","""Virginia"""
"""TNGOP""","""Tennessee"""
"""NCDemParty""","""North Carolina"""
"""NewYorkGOP""","""New York"""
"""MissouriGOP""","""Missouri"""
"""MISenDems""","""Michigan"""
"""jasonnobleDMR""","""Iowa"""
"""aliarau""","""Arizona"""
"""J_Hancock""","""Missouri"""
"""NewyorkWeissman""","""na"""
"""desmoinesdem""","""na"""
"""IdahoGOP""","""Idaho"""
"""IanKullgren""","""Oregon"""
"""jasonmdstein""","""Wisconsin"""
"""kavn""","""na"""
"""RobertTGarrett""","""Texas"""
"""Will_J_Bryan""","""na"""
"""CarolJoy20""","""na"""
"""patrickdmarley""","""Wisconsin"""
"""NebraskaDems""","""Nebraska"""
"""aprilburbank""","""Vermont"""
"""theAlexHanson""","""na"""
"""DrBillH""","""na"""
"""argusjellis""","""South Dakota"""
"""Jeremy_Borden""","""South Carolina"""
"""RobynnTysver""","""Nebraska"""
"""WickedServantOn""","""na"""
"""dlmluckytiger""","""na"""
"""LyleMuller""","""na"""
"""jessiehellmann""","""Illinois"""
"""ProFromWithin""","""na"""
"""BiT3SiZ3""","""na"""
"""pjlacasse22""","""na"""
"""Iowa4BS_2016""","""na"""
"""DebiNagle""","""na"""
"""HildaMFifer2""","""na"""
"""MichaelASuther2""","""na"""
"""TrumpSkeletor""","""na"""
